,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
Vikevag,59.1,5.7,41.41,93,75,23.04
Ustka,54.58,16.86,34.79,78,0,3.6
Tilichiki,60.47,166.1,4.39,92,100,8.7
Penzance,50.12,-5.54,49.6,93,75,9.17
Ugep,5.81,8.08,81.25,22,0,6.76
Palana,59.12,159.97,13.37,81,100,8.16
Calabozo,8.92,-67.43,92.16,32,98,9.17
Lethem,3.38,-59.8,95.22,30,5,16.62
Bandarbeyla,9.49,50.81,75.74,80,100,22.75
Kaputa,-8.47,29.66,64.17,95,100,1.57
Maniitsoq,65.42,-52.9,15.51,86,97,24.99
Aurora,39.73,-104.83,47.37,45,1,9.64
Sibolga,1.74,98.78,71.56,99,100,1.01
Laureles,26.11,-97.49,64.51,52,90,5.82
Bariloche,-41.15,-71.31,60.8,59,75,27.51
Aksu,41.12,80.26,27.54,68,0,5.55
Kakonko,-3.28,30.96,65.93,93,100,1.45
Marawi,8.0,124.29,73.0,87,4,4.0
Gizo,-8.1,156.84,76.28,90,100,5.75
Sao Joao da Barra,-21.64,-41.05,79.75,74,75,13.87
Krasnosel'kup,65.7,82.47,10.71,92,94,17.27
Rio Cuarto,-33.13,-64.35,80.6,54,20,12.75
Dillon,34.42,-79.37,55.67,40,1,5.82
Orcopampa,-15.27,-72.34,43.57,90,97,8.12
Nouakchott,18.09,-15.98,84.2,13,100,9.17
Puerto Cabezas,14.04,-83.39,86.0,66,75,6.93
Nuuk,64.18,-51.72,19.4,67,75,9.17
Barranca,-10.75,-77.77,71.31,90,8,10.29
Cabedelo,-6.98,-34.83,84.2,74,20,13.87
Camacari,-12.7,-38.32,82.4,83,75,13.87
Siilinjaervi,63.08,27.67,24.8,85,0,5.82
Pangkalanbuun,-2.68,111.62,73.62,97,100,2.04
Bonga,7.28,36.23,59.97,84,6,1.72
Ballina,-28.87,153.57,72.14,94,2,2.24
Coro,11.4,-69.67,79.65,76,24,18.99
Dabakala,8.37,-4.43,76.46,12,0,2.28
Alyangula,-13.85,136.42,86.0,79,0,5.82
Baoding,38.85,115.49,25.7,59,4,6.49
Luzhou,28.87,105.44,48.2,69,100,3.38
Bardiyah,31.76,25.09,60.3,84,9,3.02
Goderich,43.75,-81.72,16.63,51,94,1.01
Serici,44.47,18.56,40.08,93,75,2.24
Kalabo,-14.97,22.68,70.16,91,100,4.47
Nhulunbuy,-12.23,136.77,84.2,83,90,11.41
Wladyslawowo,54.79,18.4,31.86,92,0,2.24
